Emp No,Worker Name,Designation,Worker Type,Payment Basis,Daily Rate,Date,Day,Status,AM In,AM Out,PM In,PM Out,Total Hours,Regular Hours,OT Hours,Remarks
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-10,Sunday,REST DAY,,,,,0.0,0.0,0.0,Sunday rest day
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-11,Monday,PRESENT,07:10,12:03,13:05,16:54,8.7,8.0,0.6999999999999993,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-12,Tuesday,PRESENT,06:56,12:03,12:57,16:59,9.15,8.0,1.1500000000000004,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-13,Wednesday,PRESENT,06:56,12:01,12:59,17:06,9.2,8.0,1.1999999999999993,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-14,Thursday,PRESENT,06:54,12:04,12:58,17:08,9.33,8.0,1.33,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-15,Friday,PRESENT,07:07,12:04,13:03,17:07,9.02,8.0,1.0199999999999996,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-16,Saturday,PRESENT,07:02,12:01,12:55,16:04,8.13,8.0,0.13000000000000078,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-17,Sunday,REST DAY,,,,,0.0,0.0,0.0,Sunday rest day
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-18,Monday,PRESENT,06:51,11:55,12:58,16:55,9.02,8.0,1.0199999999999996,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-19,Tuesday,PRESENT,06:51,11:57,13:04,16:53,8.92,8.0,0.9199999999999999,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-20,Wednesday,PRESENT,07:09,12:04,12:57,16:52,8.83,8.0,0.8300000000000001,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-21,Thursday,PRESENT,06:54,12:01,12:55,16:55,9.12,8.0,1.1199999999999992,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-22,Friday,ABSENT,,,,,0.0,0.0,0.0,No biometric logs
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-23,Saturday,PRESENT,07:03,12:00,12:56,15:56,7.95,7.95,0,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-24,Sunday,REST DAY,,,,,0.0,0.0,0.0,Sunday rest day
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-25,Monday,PRESENT,06:50,11:55,12:56,17:03,9.2,8.0,1.1999999999999993,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-26,Tuesday,PRESENT,06:58,12:02,13:00,16:53,8.95,8.0,0.9499999999999993,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-27,Wednesday,PRESENT,06:51,12:01,12:56,17:05,9.32,8.0,1.3200000000000003,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-28,Thursday,PRESENT,07:02,11:56,12:59,17:03,8.97,8.0,0.9700000000000006,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-29,Friday,PRESENT,07:06,12:00,12:57,16:59,8.93,8.0,0.9299999999999997,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-30,Saturday,PRESENT,07:06,11:56,13:04,16:00,7.77,7.77,0,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-31,Sunday,REST DAY,,,,,0.0,0.0,0.0,Sunday rest day
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-01,Friday,HOLIDAY,,,,,0.0,0.0,0.0,Labor Day - no biometric logs
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-02,Saturday,ABSENT,,,,,0.0,0.0,0.0,No biometric logs
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-03,Sunday,REST DAY,,,,,0.0,0.0,0.0,Sunday rest day
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-04,Monday,PRESENT,07:03,12:05,12:55,17:03,9.17,8.0,1.17,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-05,Tuesday,PRESENT,06:57,12:04,12:57,16:52,9.03,8.0,1.0299999999999994,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-06,Wednesday,PRESENT,06:57,11:55,13:05,16:56,8.82,8.0,0.8200000000000003,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-07,Thursday,PRESENT,07:02,12:01,13:00,17:01,9.0,8.0,1.0,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-08,Friday,PRESENT,07:05,12:01,12:59,17:01,8.97,8.0,0.9700000000000006,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-09,Saturday,PRESENT,07:07,11:59,12:57,15:56,7.85,7.85,0,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-10,Sunday,REST DAY,,,,,0.0,0.0,0.0,Sunday rest day
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-11,Monday,PRESENT,07:09,11:57,13:00,16:56,8.73,8.0,0.7300000000000004,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-12,Tuesday,PRESENT,06:59,11:58,12:58,17:07,9.13,8.0,1.1300000000000008,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-13,Wednesday,PRESENT,06:56,12:02,12:58,16:58,9.1,8.0,1.0999999999999996,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-14,Thursday,PRESENT,07:10,11:57,13:00,17:02,8.82,8.0,0.8200000000000003,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-15,Friday,PRESENT,06:55,11:58,12:56,17:02,9.15,8.0,1.1500000000000004,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-16,Saturday,PRESENT,07:03,12:05,12:56,15:56,8.03,8.0,0.02999999999999936,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-17,Sunday,REST DAY,,,,,0.0,0.0,0.0,Sunday rest day
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-18,Monday,PRESENT,06:59,12:00,12:59,16:59,9.02,8.0,1.0199999999999996,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-19,Tuesday,PRESENT,06:54,11:57,12:57,16:52,8.97,8.0,0.9700000000000006,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-20,Wednesday,PRESENT,06:58,12:01,13:02,16:53,8.9,8.0,0.9000000000000004,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-21,Thursday,PRESENT,06:57,12:05,12:55,17:07,9.33,8.0,1.33,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-22,Friday,PRESENT,06:54,12:01,12:58,17:04,9.22,8.0,1.2200000000000006,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-23,Saturday,PRESENT,06:56,11:56,13:05,16:05,8.0,8.0,0,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-24,Sunday,REST DAY,,,,,0.0,0.0,0.0,Sunday rest day
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-25,Monday,PRESENT,06:52,12:01,13:00,16:59,9.13,8.0,1.1300000000000008,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-26,Tuesday,PRESENT,07:09,11:55,12:56,16:56,8.77,8.0,0.7699999999999996,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-27,Wednesday,PRESENT,06:54,12:04,13:00,17:06,9.27,8.0,1.2699999999999996,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-28,Thursday,PRESENT,07:07,12:00,13:04,16:56,8.75,8.0,0.75,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-29,Friday,PRESENT,06:54,11:55,12:59,16:52,8.9,8.0,0.9000000000000004,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-30,Saturday,PRESENT,06:51,12:01,12:57,15:56,8.15,8.0,0.15000000000000036,Biometric captured
EMP-1780902662,Bernard Manuel,,,,1533.55,2026-05-31,Sunday,REST DAY,,,,,0.0,0.0,0.0,Sunday rest day
